日付け,終値,始値,高値,安値,変化率 %
2021年02月26日,"5,364.000","5,364.000","5,364.000","5,364.000",-0.33%
2021年02月25日,"5,382.000","5,382.000","5,382.000","5,382.000",-0.06%
2021年02月24日,"5,385.000","5,385.000","5,385.000","5,385.000",-0.26%
2021年02月22日,"5,399.000","5,399.000","5,399.000","5,399.000",0.04%
2021年02月19日,"5,397.000","5,397.000","5,397.000","5,397.000",-0.07%
2021年02月18日,"5,401.000","5,401.000","5,401.000","5,401.000",-0.06%
2021年02月17日,"5,404.000","5,404.000","5,404.000","5,404.000",-0.07%
2021年02月16日,"5,408.000","5,408.000","5,408.000","5,408.000",0.00%
2021年02月15日,"5,408.000","5,408.000","5,408.000","5,408.000",0.06%
2021年02月12日,"5,405.000","5,405.000","5,405.000","5,405.000",-0.13%
2021年02月10日,"5,412.000","5,412.000","5,412.000","5,412.000",0.04%
